starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 19 18:00:38 2018	1529402438	1	25	26	24
Tue Jun 19 18:00:39 2018	1529402439	1	25	26	25
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	25
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	25
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	25
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	25
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	24
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	25
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	26
Tue Jun 19 18:00:39 2018	1529402439	0	26	26	25
Tue Jun 19 18:00:39 2018	1529402439	0	26	26	25
Tue Jun 19 18:00:39 2018	1529402439	0	26	26	25
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	25
Tue Jun 19 18:00:38 2018	1529402438	1	25	26	25
Tue Jun 19 18:00:39 2018	1529402439	0	26	26	25
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	26
Tue Jun 19 18:00:39 2018	1529402439	0	26	26	23
Tue Jun 19 18:00:38 2018	1529402438	1	26	26	24
Tue Jun 19 18:00:39 2018	1529402439	0	26	26	23
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	25
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	26
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	24
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	26
Tue Jun 19 18:00:38 2018	1529402438	0	26	26	26
Tue Jun 19 18:00:39 2018	1529402439	0	26	26	26
Tue Jun 19 18:00:38 2018	1529402438	1	26	26	25
Tue Jun 19 18:00:38 2018	1529402438	1	26	27	26
Tue Jun 19 18:00:38 2018	1529402438	1	26	27	25
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	26
Tue Jun 19 18:00:38 2018	1529402438	3	23	27	23
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	26
Tue Jun 19 18:00:38 2018	1529402438	0	26	27	24
Tue Jun 19 18:00:38 2018	1529402438	0	26	27	26
Tue Jun 19 18:00:38 2018	1529402438	3	24	27	24
Tue Jun 19 18:00:39 2018	1529402439	0	27	27	26
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	26
Tue Jun 19 18:00:38 2018	1529402438	1	26	27	26
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	26
Tue Jun 19 18:00:39 2018	1529402439	0	26	27	25
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	26
Tue Jun 19 18:00:39 2018	1529402439	0	27	27	26
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	26
Tue Jun 19 18:00:39 2018	1529402439	0	27	27	27
Tue Jun 19 18:00:38 2018	1529402438	1	26	27	25
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	26
Tue Jun 19 18:00:39 2018	1529402439	1	26	27	26
Tue Jun 19 18:00:39 2018	1529402439	0	27	27	27
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	24
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	24
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	26
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	27
Tue Jun 19 18:00:39 2018	1529402439	0	27	27	27
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	27
Tue Jun 19 18:00:39 2018	1529402439	0	27	27	26
Tue Jun 19 18:00:38 2018	1529402438	0	27	27	24
Tue Jun 19 18:00:38 2018	1529402438	5	22	27	22
Tue Jun 19 18:00:39 2018	1529402439	0	27	27	26
