starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 19 18:21:56 2018	1529403716	1	31	33	27
Tue Jun 19 18:21:56 2018	1529403716	2	31	33	30
Tue Jun 19 18:21:57 2018	1529403717	1	32	33	32
Tue Jun 19 18:21:57 2018	1529403717	1	32	33	29
Tue Jun 19 18:21:56 2018	1529403716	0	32	33	32
Tue Jun 19 18:21:56 2018	1529403716	2	31	33	31
Tue Jun 19 18:21:56 2018	1529403716	2	31	33	27
Tue Jun 19 18:21:56 2018	1529403716	3	30	33	29
Tue Jun 19 18:21:56 2018	1529403716	2	31	33	30
Tue Jun 19 18:21:56 2018	1529403716	0	33	33	33
Tue Jun 19 18:21:56 2018	1529403716	4	29	33	27
Tue Jun 19 18:21:56 2018	1529403716	0	33	33	31
Tue Jun 19 18:21:57 2018	1529403717	2	31	33	30
Tue Jun 19 18:21:56 2018	1529403716	1	32	33	27
Tue Jun 19 18:21:56 2018	1529403716	0	33	33	26
Tue Jun 19 18:21:56 2018	1529403716	0	33	33	32
Tue Jun 19 18:21:56 2018	1529403716	3	30	33	29
Tue Jun 19 18:21:57 2018	1529403717	0	33	33	33
Tue Jun 19 18:21:56 2018	1529403716	0	33	33	32
Tue Jun 19 18:21:56 2018	1529403716	1	32	33	31
Tue Jun 19 18:21:56 2018	1529403716	1	32	33	27
Tue Jun 19 18:21:56 2018	1529403716	1	33	33	32
Tue Jun 19 18:21:56 2018	1529403716	2	31	33	31
Tue Jun 19 18:21:56 2018	1529403716	4	30	33	27
Tue Jun 19 18:21:56 2018	1529403716	1	33	33	27
Tue Jun 19 18:21:57 2018	1529403717	3	30	33	30
Tue Jun 19 18:21:56 2018	1529403716	1	33	33	27
Tue Jun 19 18:21:56 2018	1529403716	0	33	33	32
Tue Jun 19 18:21:56 2018	1529403716	2	31	33	30
Tue Jun 19 18:21:56 2018	1529403716	1	32	33	31
Tue Jun 19 18:21:57 2018	1529403717	0	33	33	30
Tue Jun 19 18:21:56 2018	1529403716	1	32	33	27
Tue Jun 19 18:21:56 2018	1529403716	0	33	33	26
Tue Jun 19 18:21:56 2018	1529403716	1	32	34	25
Tue Jun 19 18:21:57 2018	1529403717	1	33	34	29
Tue Jun 19 18:21:56 2018	1529403716	0	33	34	32
Tue Jun 19 18:21:56 2018	1529403716	1	32	34	31
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	33
Tue Jun 19 18:21:56 2018	1529403716	2	32	34	31
Tue Jun 19 18:21:56 2018	1529403716	0	34	34	33
Tue Jun 19 18:21:56 2018	1529403716	2	32	34	27
Tue Jun 19 18:21:57 2018	1529403717	0	33	34	31
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	27
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	27
Tue Jun 19 18:21:56 2018	1529403716	0	34	34	28
Tue Jun 19 18:21:56 2018	1529403716	1	32	34	27
Tue Jun 19 18:21:56 2018	1529403716	0	34	34	33
Tue Jun 19 18:21:57 2018	1529403717	2	32	34	32
Tue Jun 19 18:21:56 2018	1529403716	4	29	34	27
Tue Jun 19 18:21:57 2018	1529403717	0	33	34	33
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	32
Tue Jun 19 18:21:56 2018	1529403716	0	33	34	33
Tue Jun 19 18:21:56 2018	1529403716	1	33	34	32
Tue Jun 19 18:21:57 2018	1529403717	0	33	34	18
